Neighbourhood,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total
Toronto,"108,855","264,185","268,775","272,180","252,230","1,096,245","2,262,475"
Agincourt/Malvern,"1,340","4,625","5,225","5,595","5,050","16,355","38,190"
Ajax/Pickering,"1,440","4,975","6,500","7,925","8,105","43,965","72,910"
Alderwood,120,525,560,535,475,"2,565","4,790"
Aurora,655,"1,630","2,015","2,340","2,140","12,730","21,505"
Banbury-Don Mills/York Mills,680,"1,630","1,845","1,780","1,675","7,910","15,520"
Bathurst Manor,290,965,655,705,695,"2,755","6,060"
Bay Street Corridor,"3,600","2,745","2,330","2,105","1,810","5,465","18,045"
Bayview Village,985,"1,250","1,300","1,410","1,275","4,235","10,460"
Bayview Woods-Steeles/Hillcrest Village,555,"1,740","1,445","1,305","1,085","5,015","11,140"
Bedford Park-Nortown,280,700,820,815,635,"5,085","8,335"
Beechborough-Greenbrook,235,505,500,345,330,655,"2,575"
Bendale,740,"1,590","1,530","1,580","1,365","3,960","10,775"
Birchcliffe-Cliffside,545,"1,305","1,200","1,235",985,"4,345","9,615"
Black Creek,840,"2,645","2,755","2,380","1,920","4,475","15,010"
Bradford/West Gwillimbury/New Tecumseth,590,"2,240","3,075","3,540","3,595","16,230","29,270"
Brampton (East),"1,440","4,695","7,370","9,060","9,610","42,910","75,090"
Brampton (West),"2,800","7,860","10,400","12,345","13,370","60,605","107,385"
Briar Hill-Belgravia,330,925,860,800,695,"2,325","5,940"
Broadview North,305,"1,015",955,805,565,"1,630","5,280"
Bronte,255,840,845,925,765,"4,920","8,550"
Brookhaven-Amesbury,300,"1,005","1,225",990,780,"2,085","6,400"
Cabbagetown-South St. James Town,465,"1,185",770,795,560,"2,425","6,200"
Caledon,545,"1,340","1,835","2,010","2,260","15,710","23,700"
Caledonia-Fairbank,175,525,565,480,385,"1,580","3,710"
Casa Loma,345,665,675,540,595,"2,980","5,810"
Churchill Meadows/Erin Mills,"1,390","3,380","4,175","5,060","4,720","24,885","43,605"
Church-Yonge Corridor,"4,140","4,415","3,605","3,255","2,775","7,535","25,725"
Clairlea-Birchmount,330,"1,085","1,425","1,320","1,130","4,105","9,400"
Clanton Park,440,925,915,930,890,"3,045","7,160"
Clarkson/Lorne Park,685,"2,090","2,430","2,580","2,295","12,150","22,225"
Cliffcrest,220,835,725,765,650,"2,685","5,880"
Cooksville,700,"1,945","1,975","2,005","1,710","5,425","13,760"
Crescent Town,420,"1,095",995,"1,065",860,"1,575","6,010"
Danforth Village-East York,260,"1,055",815,645,680,"3,495","6,945"
Don Valley Village/Pleasant View,700,"2,025","2,310","2,270","1,960","6,420","15,680"
Dorset Park,400,"1,290","1,490","1,295","1,155","3,090","8,715"
