Neighbourhood,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Toronto,"129,000","97,000","103,700","85,000"
Agincourt/Malvern,"101,800","89,000","89,500","81,000"
Ajax/Pickering,"137,400","118,000","113,600","102,000"
Alderwood,"129,000","106,000","105,200","92,000"
Aurora,"161,800","119,000","123,800","101,000"
Banbury-Don Mills/York Mills,"224,400","102,000","152,400","86,000"
Bathurst Manor,"116,800","92,000","91,500","81,000"
Bay Street Corridor,"96,400","62,800","74,500","56,000"
Bayview Village,"107,700","83,000","85,300","72,500"
Bayview Woods-Steeles/Hillcrest Village,"113,000","89,000","93,300","79,000"
Bedford Park-Nortown,"266,000","135,000","182,600","113,000"
Beechborough-Greenbrook,"79,500","62,400","69,000","56,800"
Bendale,"92,200","79,500","80,300","71,000"
Birchcliffe-Cliffside,"131,400","90,000","103,000","79,000"
Black Creek,"82,100","70,500","74,200","65,500"
Bradford/West Gwillimbury/New Tecumseth,"121,300","109,000","101,500","94,000"
Brampton (East),"125,900","111,000","109,000","99,000"
Brampton (West),"123,500","110,000","105,800","97,000"
Briar Hill-Belgravia,"96,800","81,000","82,700","72,500"
Broadview North,"93,900","68,500","77,400","61,200"
Bronte,"158,000","118,000","121,000","100,000"
Brookhaven-Amesbury,"89,400","73,000","78,200","67,000"
Cabbagetown-South St. James Town,"120,000","76,500","93,100","67,000"
Caledon,"155,400","133,000","125,400","113,000"
Caledonia-Fairbank,"102,500","87,000","87,600","76,000"
Casa Loma,"270,400","103,000","183,400","87,000"
Churchill Meadows/Erin Mills,"136,200","113,000","112,200","98,000"
Church-Yonge Corridor,"86,600","64,500","69,800","56,400"
Clairlea-Birchmount,"104,500","90,000","90,000","80,000"
Clanton Park,"124,500","88,000","99,400","76,500"
Clarkson/Lorne Park,"161,800","110,000","123,400","95,000"
Cliffcrest,"117,800","92,000","97,800","82,000"
Cooksville,"109,700","83,000","90,800","74,000"
Crescent Town,"79,100","68,500","69,800","62,800"
Danforth Village-East York,"130,400","101,000","104,900","86,000"
Don Valley Village/Pleasant View,"101,600","85,000","87,300","76,000"
Dorset Park,"89,700","79,000","79,300","71,500"
Dovercourt/Davenport/Junction,"106,700","86,000","89,100","76,000"
Downsview,"90,800","77,000","80,000","69,500"
Dufferin Grove/Little Portugal,"106,700","83,000","86,600","72,000"
East End-Danforth,"121,700","90,000","96,700","78,500"
East Gwillimbury/Newmarket,"132,800","112,000","108,600","97,000"
Edenbridge-Humber Valley,"197,600","100,000","138,200","86,000"
Eglinton East,"85,300","73,500","75,900","67,500"
Elms-Old Rexdale,"94,600","82,000","83,600","74,500"
Englemount-Lawrence,"125,200","78,000","100,600","70,000"
Eringate-Centennial-West Deane,"127,400","108,000","105,600","93,000"
Etobicoke West Mall,"117,400","90,000","95,800","78,500"
