centre_id,address,geometry,operating_hours
0,101 Spruce St,MULTIPOINT ((-79.362233991 43.664194018)),Morning only
1,1033 King St W,MULTIPOINT ((-79.416392031 43.640968279)),Other
2,2555 Eglinton Ave E,MULTIPOINT ((-79.257331568 43.734346444)),Weekend available
3,2700 Dufferin St,MULTIPOINT ((-79.453989688 43.701704914)),Weekend available
4,38 Regent St,MULTIPOINT ((-79.364272448 43.658595115)),Full day
5,402 Shuter St,MULTIPOINT ((-79.361740442 43.657993622)),Afternoon only
6,4139 Sheppard Ave E,MULTIPOINT ((-79.281919408 43.784405672)),Weekend available
7,48 Regent St,MULTIPOINT ((-79.4700872989 43.6810721434)),Full day
8,1102 Broadview Ave,MULTIPOINT ((-79.356320186 43.686573868)),Weekend available
9,91 Barrington Ave,MULTIPOINT ((-79.301568069 43.691772103)),Full day
10,295 Alton Towers Cir,MULTIPOINT ((-79.2781945625 43.8240886996)),Weekend available
11,3223 Kennedy Rd,MULTIPOINT ((-79.302348678 43.816001403)),Weekend available
12,112 Goldhawk Trail,MULTIPOINT ((-79.27855339 43.819268977)),Evening available
13,1515 Albion Rd,MULTIPOINT ((-79.584168211 43.739852868)),Evening available
14,108 Gladstone Ave,MULTIPOINT ((-79.428847257 43.646021246)),Full day
15,105 Grange Crt,MULTIPOINT ((-79.398879122 43.651527546)),Weekend available
16,1507 Lawrence Ave W,MULTIPOINT ((-79.482619313 43.707166096)),Other
17,145 Annette St,MULTIPOINT ((-79.4664443548 43.663312551)),Full day
18,1470 Gerrard St E,MULTIPOINT ((-79.320744196 43.672776552)),Full day
19,60 Woodfield Rd,MULTIPOINT ((-79.321912283 43.666043607)),Full day
20,20 Covington Rd,MULTIPOINT ((-79.432159033 43.720732575)),Other
21,93 Birchmount Rd,MULTIPOINT ((-79.26233166 43.695419466)),Weekend available
22,1700 Wilson Ave,MULTIPOINT ((-79.5125311905 43.7209712989)),Other
23,75 Tandridge Cres,MULTIPOINT ((-79.546722096 43.728881268)),Weekend available
24,15 Tandridge Cres,MULTIPOINT ((-79.548863811 43.728029826)),Full day
25,3410 Sheppard Ave E,MULTIPOINT ((-79.307016964 43.779298032)),Weekend available
