neighbourhood_name,children_0_4,median_age_population,median_after_tax_income_2020_over_15,after_tax_bottom_half_distribution,    In bottom decile,    In second decile,    In third decile,    In fourth decile,    In fifth decile,    In sixth decile,    In seventh decile,    In eighth decile,    In ninth decile,    In top decile,inequality_index,count_of_children,single_moms,is_nia,AREA_NAME,childcare_centres_count,centres_per_100_children,centres_per_1000_children
West Humber-Clairville,1460,38,31600,17320,3430,3460,3270,3585,3580,3850,3725,3485,3300,1610,0.2,7090,1695,False,West Humber-Clairville,4.0,0.273972602739726,2.73972602739726
Mount Olive-Silverstone-Jamestown,1650,36,28400,21365,4465,4885,4645,3915,3460,3505,2635,2155,1240,455,0.2,6830,2060,True,Mount Olive-Silverstone-Jamestown,5.0,0.30303030303030304,3.0303030303030303
Thistletown-Beaumond Heights,505,39.2,30600,5790,1215,1030,1160,1240,1145,985,905,845,735,595,0.3,2110,540,True,,0.0,0.0,0.0
Rexdale-Kipling,505,42,31800,5795,1390,1155,1225,1105,925,1155,925,1010,1035,460,0.3,2220,630,False,,0.0,0.0,0.0
Elms-Old Rexdale,440,38.4,32400,5150,1075,1045,1250,1030,750,955,1365,740,740,405,0.3,1735,740,True,Elms-Old Rexdale,3.0,0.6818181818181818,6.8181818181818175
Kingsview Village-The Westway,1245,38.8,32400,13205,2890,2935,2675,2825,1880,1860,1985,1775,1850,1340,0.3,4690,1425,True,Kingsview Village-The Westway,2.0,0.1606425702811245,1.606425702811245
Willowridge-Martingrove-Richview,1065,44.4,37200,10350,1770,2355,2070,2155,2000,2150,2265,2310,2625,2745,0.3,5165,1195,False,Willowridge-Martingrove-Richview,1.0,0.09389671361502347,0.9389671361502347
Humber Heights-Westmount,395,47.2,36400,4655,905,1205,970,890,675,935,1070,850,1250,1245,0.4,2195,605,False,Humber Heights-Westmount,2.0,0.5063291139240507,5.063291139240507
Edenbridge-Humber Valley,520,46.8,42400,5950,1105,1095,1215,1130,1395,1055,1055,1185,1470,4470,0.5,3720,665,False,,0.0,0.0,0.0
Princess-Rosethorn,545,46,50400,2510,595,445,505,515,450,665,835,930,1660,4570,0.4,3280,330,False,,0.0,0.0,0.0
