"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","home_run","strikeout","k_percent","bb_percent","on_base_plus_slg","p_earned_run","p_run","p_shutout","p_era","p_opp_on_base_avg","p_called_strike","p_swinging_strike","p_inh_runner","p_inh_runner_scored","p_beq_runner","p_beq_runner_scored","xba","xslg","woba","xwoba","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_z_induced","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_z_induced","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_z_induced","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_z_induced","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_z_induced","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_z_induced","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_z_induced"
"Teng, Kai-Wei",678906,2025,26,"29.2",139,2,39,28.1,12.2,"0.732","21","24","0","6.37",,"105","64","0","0","11","9",".215",".314",".335",".309","89.4","14.5",36.8,3.9,1.3,31.6,"80.115860263","93.391197067",27.5,43.8,23.6,"25","93.2","2549",,,,,"10.3","87.7","1762","2.6","13.6","82.9","2701","-8","12.4","92.9","2393","3.3",,,,,,,,,"38.7","84.4","2770","1.3"
"Lord, Brad",695418,2025,25,"130.2",546,17,108,19.8,7.9,"0.732","63","65","0","4.34",,"313","196","14","5","21","7",".273",".431",".319",".335","88.5","10.1",34.4,7.1,5.6,41.8,"76.261947744","94.578532262",21.3,50,19.5,"48.5","94.8","2330","20.2","85.5","2512","0.6","13.1","85.9","1957","5.6",,,,,"18.1","94.3","2223","4.8",,,,,,,,,,,,
"Alexander, Jason",669920,2025,32,"77.1",336,15,65,19.3,7.7,"0.793","41","45","0","4.77",,"226","122","3","1","12","2",".271",".432",".341",".336","89.8","10.8",35.1,8.3,4.5,45.9,"77.843607833","95.370083264",24.6,43.8,21.7,"10.1","91.9","2270","0.2","82.4","2533","11.2","32.7","80.3","1764","1.2",,,,,"40","90.9","2054","1.3","1","87.2","2208","6.6",,,,,"16","78.5","2626","-0.2"
"Hall, DL",669084,2025,26,"38.2",155,2,27,17.4,11,"0.540","15","15","0","3.49",,"96","47","8","4","10","5",".224",".344",".246",".292","88","15",36,6.3,2.7,28.8,"78.260723036","92.985195586",19.6,44.2,43.2,"29.8","94.2","2226","18.7","85.9","2482","-0.5","17.7","84.7","2093","8.6","9.4","80","2664","-11.2","7.1","94.7","2162","11.8","17.3","92.3","2358","10",,,,,,,,
"Young, Brandon",687064,2025,26,"57.2",256,12,47,18.4,8.6,"0.872","40","42","0","6.24",,"158","88","0","0","8","3",".244",".432",".372",".321","89.4","13.3",32.1,10.2,6.4,42.2,"78.202437717","94.69738663",21.6,48.2,49,"43.8","93.8","2211","8.9","83.3","2063","1.7","4.6","87.1","1773","10.3","15.8","76.1","2722","-15.1",,,,,"9.2","86.8","2067","5.5","17.8","87.3","1537","4.9",,,,
"Webb, Jacob",657097,2025,31,"66.0",267,10,58,21.7,7.1,"0.622","22","24","0","3.00",,"149","119","31","9","14","6",".216",".347",".270",".274","86.6","23",30.9,5.9,4.8,34.6,"75.052885217","93.147000383",27.6,51.1,34.2,"44.5","93.4","2469",,,,,"34.7","84.9","2261","10.9",,,,,,,,,,,,,,,,,"20.9","82","2600","-5.5"
"Kelly, Zack",677161,2025,30,"35.1",152,3,35,23,7.9,"0.729","18","21","0","4.58",,"96","51","9","5","16","6",".236",".346",".318",".290","86.2","13.5",37.3,4.9,7.8,31.4,"74.3228046","93.0280845",23.3,49.3,36.6,"19.8","96.1","2148",,,,,"11.9","83.1","2086","1.5","1","82.3","2526","-7.2","15.3","96.1","2152","11.4","31.3","91.8","2406","8.8",,,,,"20.7","81.8","2668","2.7"
"Zastryzny, Rob",642239,2025,33,"22.0",93,3,20,21.5,10.8,"0.635","6","7","0","2.45",,"48","50","16","4","11","3",".212",".357",".268",".283","86","17.6",32.3,4.8,4.8,24.2,"75.706331613","92.269715574",32.2,49.3,41.5,"44.4","91.9","2516",,,,,"2.9","81.6","1994","7",,,,,,,,,"33.1","86.3","2537","3.9","5.2","83.5","1439","2","14.4","80.6","2424","5"
"Rangel, Alan",660604,2025,27,"11.0",46,1,8,17.4,13,"0.748","3","3","0","2.45",,"30","13","0","0","0","0",".265",".476",".331",".364","89.9","21.9",43.8,15.6,3.1,40.6,"80.3280225","94.126775161",17.3,43.1,71.6,"43.7","92.8","2265","19","85","2292","5.7","31","82.2","2095","12.5","6.3","73.6","1967","-15.5",,,,,,,,,,,,,,,,
"Montgomery, Mason",682254,2025,25,"46.0",209,6,63,30.1,12.9,"0.807","29","32","0","5.67",,"120","130","31","10","17","5",".247",".397",".354",".331","89.3","12.1",33.9,9.3,5.9,39,"78.008832456","94.636496106",35.8,51.1,52.3,"66.2","98.7","2313","33.8","89.7","2571","1.8",,,,,,,,,,,,,,,,,,,,,,,,
"Alvarado, José",621237,2025,30,"26.0",114,4,32,28.1,6.1,"0.711","11","12","0","3.81",,"74","47","5","1","7","2",".223",".388",".310",".293","92.7","8.8",37.8,12.2,5.4,47.3,"82.364834167","96.277786667",24.3,47.7,59.1,"1.3","99.6","2055",,,,,,,,,"4.8","84.8","2439","-7.7","63.5","99.1","2082","13","30.4","93.2","2132","6.5",,,,,,,,
"Giolito, Lucas",608337,2025,30,"145.0",613,17,121,19.7,9.1,"0.686","55","62","0","3.41",,"388","230","0","0","18","5",".268",".458",".301",".345","90.3","16.7",38.3,9,3.7,41.1,"79.599269676","94.777289536",22.9,47.3,52.1,"48.4","93.3","2231","25.6","86","1966","4.7","22.6","81.7","1673","12.6","3.5","78.6","2471","-15.4",,,,,,,,,,,,,,,,
"Gilbert, Logan",669302,2025,28,"131.0",535,20,173,32.3,5.8,"0.643","50","53","0","3.44",,"328","303","0","0","11","3",".207",".359",".280",".273","90.8","15",32.1,8.6,2.8,41.7,"81.144057391","94.674260997",32.9,51.1,40.7,"36.1","95.4","2115","35.3","87.5","1820","0.8",,,,,"7.5","82.1","2183","-3.1","1.5","95.5","2162","14",,,,,"19.6","81.7","727","-1",,,,
"Aldegheri, Sam",691951,2025,23,"13.2",73,3,12,16.4,13.7,"1.035","12","14","0","7.90",,"46","23","0","0","3","1",".298",".499",".444",".406","89","14.6",38.3,10.6,4.3,34,"79.03760375","94.022544681",21.1,42.2,39.3,"47.2","91.6","2353","17.5","82.4","2318","-2.7","23.8","82.2","1808","9.6","11.6","75.3","2145","-9.4",,,,,,,,,,,,,,,,
"Soriano, José",667755,2025,26,"169.0",724,12,152,21,10.8,"0.688","80","89","0","4.26",,"460","284","0","0","18","9",".246",".364",".309",".313","91.4","-2.8",26.8,7.2,4.9,48.2,"79.974239247","95.946385146",27,44.8,36.4,"8.6","97.9","2225","6.1","89.1","2428","-0.2","0.4","86.9","1221","-0.6","26.6","85.2","2489","-9.9","49.1","97.2","1922","3.1",,,,,"9.2","92.3","1479","-0.5",,,,
"Pagán, Emilio",641941,2025,34,"68.2",270,10,81,30,8.1,"0.577","22","26","0","2.88",,"131","149","6","1","0","0",".183",".344",".254",".267","88.9","23.7",30.3,9.1,3.6,37,"78.859637439","93.705661043",29.2,53.2,42.5,"61.2","95.8","2614",,,,,,,,,,,,,,,,,"18.6","86.9","2412","4.7","20.1","83.9","970","2.6",,,,
